timestamp,numberOfGuests,numberIncomingHealthyGuests,numberIncomingInfectedGuests,numberOutgoingHealthyGuests,numberOutgoingInfectedGuests,healthy,infected,newInfections
3,5,1,4,0,0,1,4,0
6,9,5,5,0,1,5,4,0
8,13,9,6,1,1,8,5,0
10,16,13,7,2,2,11,5,0
13,20,16,8,2,2,14,6,0
16,23,20,9,4,2,16,7,0
19,26,24,10,6,2,18,8,2
22,28,27,10,7,2,18,10,2
25,30,31,10,8,3,21,9,5
28,32,35,10,8,5,22,10,7
31,35,39,10,8,6,24,11,10
34,37,42,10,9,6,23,14,16
37,40,45,11,10,6,19,21,19
39,40,47,11,12,6,16,24,20
42,40,48,11,12,7,16,24,22
44,40,49,12,13,8,14,26,23
46,40,50,13,14,9,13,27,25
48,40,50,14,14,10,11,29,28
49,40,52,14,15,11,9,31,28
52,40,55,14,15,14,12,28,32
54,40,58,14,16,16,10,30,36
57,40,60,14,16,18,8,32,43
60,40,61,14,16,19,2,38,44
63,40,62,14,16,20,2,38,46
66,40,62,15,16,21,0,40,46
67,40,64,15,16,23,2,38,46
69,40,65,16,16,25,3,37,48
70,40,67,16,16,27,3,37,49
73,40,68,16,16,28,3,37,52
75,40,70,16,16,30,2,38,52
77,40,71,16,16,31,3,37,54
78,40,71,16,16,31,3,37,54
82,40,73,16,16,33,3,37,57
83,40,74,16,16,34,1,39,57
86,40,76,16,16,36,3,37,59
89,40,77,17,16,38,2,38,61
91,40,79,17,16,40,2,38,61
94,40,81,17,16,42,4,36,65
97,40,82,18,16,44,1,39,66
99,40,84,18,16,46,2,38,66
102,40,86,19,16,49,4,36,69
104,40,87,19,16,50,2,38,71
106,40,88,19,16,51,1,39,71
108,40,89,19,16,52,2,38,72
110,40,89,19,16,52,2,38,73
113,40,89,19,16,52,2,38,73
115,40,91,19,16,54,2,38,74
117,40,93,19,16,56,3,37,76
119,40,94,19,16,57,2,38,77
